date,gcode,lvcnt,nsum,nsum10,bomb,bomblag,bombsum10,klaB,klaBlag,klaBsum10,klaK,klaKlag,klaKsum10
5/1/1999,south,3229,3.839164,55.2387435,0,0,5,0,0,1,1,0,11
5/3/1999,south,1118,3.899042,53.2211255,1,0,5,0,0,1,0,1,11
5/5/1999,south,267,0.2617928,54.6026695,1,1,4,0,0,1,0,0,7
5/7/1999,south,435,11.9507,51.1541083,0,1,5,0,0,1,0,0,6
5/9/1999,south,459,3.012367,51.8909683,1,0,5,0,0,1,2,0,6
5/11/1999,south,1204,1.037044,33.4941953,1,1,6,0,0,1,1,2,5
5/13/1999,south,17,0.2417855,30.9807993,2,1,7,0,0,0,0,1,5
5/15/1999,south,18,0.5021698,28.3195768,3,2,9,0,0,0,5,0,5
5/17/1999,south,81,2.256045,26.7440656,2,3,12,0,0,0,3,5,10
5/19/1999,south,42,0,28.5716234,1,2,13,0,0,0,0,3,13
5/21/1999,south,1401,0,27.1709094,2,1,12,0,0,0,0,0,12
5/23/1999,south,184,0,27.0001101,3,2,14,0,0,0,3,0,12
5/25/1999,south,235,238.1782,23.1609461,5,3,17,0,0,0,2,3,14
5/27/1999,south,282,2.722037,257.4401041,1,5,21,20,0,0,2,2,16
5/29/1999,south,0,2.041528,259.9003483,3,1,21,0,20,20,37,2,18
5/31/1999,south,0,0,249.9911763,2,3,24,1,0,20,0,37,55
6/2/1999,south,0,0,246.9788093,2,2,25,0,1,21,1,0,53
6/4/1999,south,0,0,245.9417653,3,2,26,0,0,21,0,1,53
6/6/1999,south,0,0,245.6999798,5,3,27,0,0,21,0,0,53
6/8/1999,south,0,5,245.19781,2,5,29,0,0,21,0,0,48
6/10/1999,south,0,0,247.941765,0,2,29,0,0,21,3,0,45
6/12/1999,south,0,0,247.941765,0,0,28,0,0,21,5,3,48
6/14/1999,south,0,0,247.941765,0,0,26,0,0,21,0,5,53
6/16/1999,south,0,0,247.941765,0,0,23,0,0,21,0,0,50
6/18/1999,south,0,0,9.763565,0,0,18,0,0,21,0,0,48
6/20/1999,south,0,0,7.041528,0,0,17,0,0,1,5,0,46
6/22/1999,south,0,0,5,0,0,14,0,0,1,1,5,14
3/20/1999,east,509,7.606873,0,0,0,0,1,0,0,8,0,0
3/22/1999,east,684,9.958088,7.606873,0,0,0,0,1,1,1,8,8
3/24/1999,east,1314,191.2878,17.564961,1,0,0,1,0,1,0,1,9
3/26/1999,east,1843,139.612,208.852761,0,1,1,1,1,2,1,0,9
3/28/1999,east,4013,132.9504,348.464761,2,0,1,0.5,1,3,1,1,10
3/30/1999,east,2855,58.10432,481.415161,6,2,3,0,0.5,3.5,1,1,11
4/1/1999,east,3188,123.9931,539.519481,1,6,9,2,0,3.5,0,1,12
4/3/1999,east,1667,110.1133,663.512581,0,1,10,0,2,5.5,0,0,12
4/5/1999,east,1651,64.9904,773.625881,1,0,10,0,0,5.5,0,0,12
4/7/1999,east,1276,41.89624,838.616281,1,1,11,0,0,5.5,1,0,12
4/9/1999,east,2303,57.16568,880.512521,0,1,12,0,0,5.5,0,1,13
4/11/1999,east,1310,24.57228,937.678201,5,0,12,0,0,5.5,0,0,13
4/13/1999,east,2200,34.82286,954.643608,2,5,17,1,0,4.5,0,0,5
4/15/1999,east,2329,105.2455,979.50838,5,2,19,0,1,5.5,3,0,4
4/17/1999,east,5042,200.9316,893.46608,4,5,23,0,0,4.5,6,3,7
4/19/1999,east,1119,105.0147,954.78568,2,4,27,0,0,3.5,1,6,12
4/21/1999,east,68,85.86503,926.84998,1,2,27,0,0,3,0,1,12
4/23/1999,east,137,61.45355,954.61069,2,1,22,0,0,3,0,0,11
4/25/1999,east,32,14.39741,892.07114,2,2,23,0,0,1,0,0,11
4/27/1999,east,130,47.06477,796.35525,3,2,25,0,0,1,3,0,11
4/29/1999,east,150,5.738953,778.42962,1,3,27,0,0,1,0,3,14
5/1/1999,east,111,45.87801,742.272333,1,1,27,0,0,1,1,0,13
5/3/1999,east,21,46.59356,730.984663,2,1,28,0,0,1,0,1,14
5/5/1999,east,126,3.128424,753.005943,3,2,25,0,0,1,0,0,14
5/7/1999,east,37,27.88531,721.311507,4,3,26,0,0,0,0,0,14
5/9/1999,east,20,7.028942,643.951317,8,4,25,0,0,0,0,0,11
5/11/1999,east,710,2.4198,450.048659,6,8,29,0,0,0,0,0,5
5/13/1999,east,6,1.6119,347.453759,6,6,33,0,0,0,0,0,4
5/15/1999,east,3,3.347792,263.200629,2,6,38,0,0,0,0,0,4
5/17/1999,east,6,15.04027,205.094871,2,2,38,0,0,0,1,0,4
5/19/1999,east,6,7.358198,205.737731,3,2,38,0,0,0,0,1,5
5/21/1999,east,9,15.88201,166.031159,8,3,38,1,0,0,0,0,2
5/23/1999,east,122,17.84062,176.174216,7,8,45,0,1,1,0,0,2
5/25/1999,east,152,6.20915,148.136826,8,7,51,0,0,1,0,0,1
5/27/1999,east,0,0.0709617,107.752416,8,8,57,0,0,1,1,0,1
5/29/1999,east,0,0.0532213,104.6949537,9,8,62,0,0,1,10,1,2
5/31/1999,east,0,2,76.862865,3,9,67,0,0,1,10,10,12
6/2/1999,east,0,0,71.833923,5,3,62,0,0,1,2,10,22
6/4/1999,east,0,0,69.414123,10,5,61,0,0,1,0,2,24
6/6/1999,east,0,0,67.802223,5,10,65,0,0,1,1,0,24
6/8/1999,east,0,1,64.454431,4,5,68,0,0,1,0,1,25
6/10/1999,east,0,0,50.414161,1,4,70,0,0,1,4,0,24
6/12/1999,east,0,0,43.055963,0,1,68,0,0,1,14,4,28
